,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,term,wave,samp,zern
112,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,8,3,4,0.000250468
113,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,9,3,4,-0.026830715
114,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,10,3,4,0.001169714
115,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,11,3,4,0.024444322
116,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,12,3,4,-0.016933834
117,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,13,3,4,0.008624452
118,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,14,3,4,-0.003309717
119,700,nominal,SYS_03_(Preload_deformation)\,6,_Timestep_00007,_20231130\,SYS_03_(Preload_deformation)\06_Timestep_00007_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,15,3,4,0.001902916
120,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,1,3,4,-0.443190005
121,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,2,3,4,0.001243104
122,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,3,3,4,-0.003237245
123,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,4,3,4,-0.114486874
124,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,5,3,4,-0.063229778
125,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,6,3,4,0.13904876
126,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,7,3,4,0.000864311
127,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,8,3,4,0.000248787
128,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,9,3,4,-0.02708108
129,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,10,3,4,0.001099616
130,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,11,3,4,0.028079224
131,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,12,3,4,-0.01581744
132,800,nominal,SYS_03_(Preload_deformation)\,10,_Timestep_00008,_20231130\,SYS_03_(Preload_deformation)\10_Timestep_00008_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,13,3,4,0.007255268
