,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,M2_offset_init,M2_offset_final,wfe
79,8,central hub,Ti,SYS_16_(Static_Structural)\,7,_Timestep_00002,_20240411\,SYS_16_(Static_Structural)\07_Timestep_00002_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68135128275043,0.17819559675255287
80,13,central hub,Ti,SYS_16_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_16_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68391524594624,0.022964270830223447
81,13,central hub,Ti,SYS_16_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_16_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68391524594624,0.34501493741721634
82,13,central hub,Ti,SYS_16_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_16_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68391524594624,0.13847114698899896
83,13,central hub,Ti,SYS_16_(Static_Structural)\,11,_Timestep_00003,_20240411\,SYS_16_(Static_Structural)\11_Timestep_00003_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68391524594624,0.12199767434416794
84,18,central hub,Ti,SYS_16_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_16_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.6865279765314,0.01979499050623332
85,18,central hub,Ti,SYS_16_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_16_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.6865279765314,0.1899505366611061
86,18,central hub,Ti,SYS_16_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_16_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.6865279765314,0.08494810088680367
87,18,central hub,Ti,SYS_16_(Static_Structural)\,15,_Timestep_00004,_20240411\,SYS_16_(Static_Structural)\15_Timestep_00004_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.6865279765314,0.07769233183672532
88,23,central hub,Ti,SYS_16_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_16_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68920642714873,0.0168305636973085
89,23,central hub,Ti,SYS_16_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_16_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68920642714873,0.07719482698331631
90,23,central hub,Ti,SYS_16_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_16_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.68920642714873,0.06079847062533252
91,23,central hub,Ti,SYS_16_(Static_Structural)\,19,_Timestep_00005,_20240411\,SYS_16_(Static_Structural)\19_Timestep_00005_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.68920642714873,0.07553486935975236
92,28,central hub,Ti,SYS_16_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_16_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69190532511891,0.014124211833181672
93,28,central hub,Ti,SYS_16_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_16_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69190532511891,0.17856449769274277
94,28,central hub,Ti,SYS_16_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_16_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69190532511891,0.09541390036275947
95,28,central hub,Ti,SYS_16_(Static_Structural)\,23,_Timestep_00006,_20240411\,SYS_16_(Static_Structural)\23_Timestep_00006_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69190532511891,0.11968330601648458
96,33,central hub,Ti,SYS_16_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_16_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69457914072828,0.011833660832883695
97,33,central hub,Ti,SYS_16_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_16_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69457914072828,0.3365552228471618
98,33,central hub,Ti,SYS_16_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_16_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69457914072828,0.15271560113853802
99,33,central hub,Ti,SYS_16_(Static_Structural)\,27,_Timestep_00007,_20240411\,SYS_16_(Static_Structural)\27_Timestep_00007_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69457914072828,0.17810104711504046
100,38,central hub,Ti,SYS_16_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_16_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.69724747652597,0.010284796602141046
101,38,central hub,Ti,SYS_16_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_16_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.69724747652597,0.49976686906001017
102,38,central hub,Ti,SYS_16_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_16_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.69724747652597,0.21518648687556388
103,38,central hub,Ti,SYS_16_(Static_Structural)\,31,_Timestep_00008,_20240411\,SYS_16_(Static_Structural)\31_Timestep_00008_20240411\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.69724747652597,0.2405609737802618
